Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,271,0,0,0,-37523.2,6309.6,3766.3,43.681
0,272,0,0,0,-37840.0,6309.6,3765.7,43.691
0,273,0,0,0,-38156.8,6309.6,3765.2,43.701
0,274,0,0,0,-38473.6,6309.6,3764.9,43.711
0,275,0,0,0,-38790.4,6309.6,3764.4,43.725
0,276,0,0,0,-39107.2,6309.6,3763.9,43.735
0,277,0,0,0,-39424.0,6309.6,3763.5,43.745
0,278,0,0,0,-39740.8,6309.6,3763.0,43.755
0,279,0,0,0,-40057.6,6309.6,3762.5,43.765
0,280,0,0,0,-40374.4,6309.6,3762.0,43.775
0,281,0,0,0,-40691.2,6309.6,3761.5,43.785
0,282,0,0,0,-41008.0,6309.6,3761.0,43.795
0,283,0,0,0,-41324.8,6309.6,3760.5,43.805
0,284,0,0,0,-41641.6,6309.6,3759.9,43.815
0,285,0,0,0,-41958.4,6309.6,3759.4,43.825
0,286,0,0,0,-42275.2,6547.2,3759.1,49.863
0,287,0,0,0,-41958.4,6547.2,3759.6,49.873
0,288,0,0,0,-41641.6,6547.2,3760.2,49.883
0,289,0,0,0,-41324.8,6547.2,3760.7,49.893
0,290,0,0,0,-41008.0,6547.2,3761.2,49.903
0,291,0,0,0,-40691.2,6547.2,3761.7,49.964
0,292,0,0,0,-40374.4,6547.2,3762.2,49.974
0,293,0,0,0,-40057.6,6547.2,3762.7,49.984
0,294,0,0,0,-39740.8,6547.2,3763.2,49.994
0,295,0,0,0,-39424.0,6547.2,3763.6,50.011
0,296,0,0,0,-39107.2,6547.2,3764.2,50.026
0,297,0,0,0,-38790.4,6547.2,3764.6,50.053
0,298,0,0,0,-38473.6,6547.2,3765.1,50.063
0,299,0,0,0,-38156.8,6547.2,3765.6,50.073
0,300,0,0,0,-37840.0,6547.2,3766.0,50.083
0,301,0,0,0,-37523.2,6547.2,3766.5,50.123
0,302,0,0,0,-37206.4,6547.2,3766.9,50.133
